x_m,y_m,spp,spp_code,status_mpb,dbh_cm
120,130,PP,6,1,53.34
120,140,PP,6,1,53.34
130,120,PP,6,1,53.34
130,140,PP,6,1,53.34
140,20,PP,6,1,53.34
140,30,PP,6,1,53.34
140,40,PP,6,1,53.34
150,20,PP,6,1,53.34
150,30,PP,6,1,53.34
150,40,PP,6,1,53.34
170,130,BS,1,1,53.34
190,80,PP,6,1,53.34
190,140,BS,1,1,53.34
200,80,PP,6,1,53.34
210,80,PP,6,1,53.34
210,130,PP,6,1,53.34
210,140,PP,6,1,53.34
220,130,PP,6,1,53.34
220,140,PP,6,1,53.34
0,10,PP,6,1,55.88
50,60,PP,6,1,55.88
60,30,PP,6,1,55.88
60,60,PP,6,1,55.88
80,120,PP,6,1,55.88
90,120,PP,6,1,55.88
100,110,PP,6,1,55.88
100,140,PP,6,1,55.88
200,70,PP,6,1,55.88
210,70,PP,6,1,55.88
0,20,PP,6,1,58.42
0,30,PP,6,1,58.42
30,130,PP,6,2,58.42
40,110,PP,6,2,58.42
40,130,PP,6,2,58.42
50,110,PP,6,2,58.42
50,130,PP,6,2,58.42
120,130,PP,6,1,58.42
130,130,PP,6,1,58.42
140,130,PP,6,1,58.42
50,120,PP,6,2,60.96
130,50,PP,6,1,63.5
140,40,PP,6,1,63.5
140,50,PP,6,1,63.5
150,40,PP,6,1,63.5
150,50,PP,6,1,63.5
0,20,PP,6,1,66.04
10,10,PP,6,1,66.04
10,20,PP,6,1,66.04
10,30,PP,6,1,66.04
20,10,PP,6,1,66.04
20,20,PP,6,1,66.04
20,30,PP,6,1,66.04
30,20,PP,6,1,66.04
90,90,PP,6,2,66.04
90,100,PP,6,2,66.04
90,110,PP,6,1,66.04
100,90,PP,6,2,66.04
100,110,PP,6,1,66.04
110,100,PP,6,1,66.04
110,110,PP,6,1,66.04
40,120,PP,6,2,68.58
50,120,PP,6,2,68.58
90,120,PP,6,1,68.58
100,120,PP,6,1,68.58
110,120,PP,6,1,68.58
220,90,PP,6,1,71.12
30,120,PP,6,2,76.2
30,130,PP,6,2,76.2
40,120,PP,6,2,76.2
90,140,PP,6,1,78.74
100,140,PP,6,1,78.74
110,140,PP,6,1,78.74
30,110,PP,6,2,81.28
40,100,PP,6,2,81.28
40,110,PP,6,2,81.28
50,110,PP,6,2,81.28
